A;536660;183800;-0.03098;51.53657
B;537032;184006;-0.02554;51.53833
C;537109;183884;-0.02448;51.53721
D;537110;184695;-0.02415;51.5445
E;537206;184685;-0.02277;51.54439
F;537248;185016;-0.02204;51.54735
G;537250;185020;-0.02201;51.54739
H;537267;184783;-0.02185;51.54525
I;537269;183451;-0.02234;51.53328
J;537270;184140;-0.02206;51.53948
K;537356;184927;-0.02052;51.54653
L;537380;184727;-0.02025;51.54472
M;537458;184495;-0.01921;51.54262
N;537604;184134;-0.01725;51.53934
O;537720;184057;-0.01561;51.53862
P;537905;184591;-0.01273;51.54337
Q;537910;184441;-0.01272;51.54202
R;537953;184295;-0.01216;51.5407
S;538050;184245;-0.01078;51.54023
W20;537663;185125;-0.02258;51.54469
Y21;537197;183389;-0.03206;51.53846
M22;537256;184985;-0.03219;51.54991
R23;536371;185094;-0.0348;51.54922
P24;536054;185499;-0.02188;51.53726
C25;537832;183017;-0.01155;51.53235
W26;537669;183140;-0.02452;51.54031
B27;536258;184770;-0.0213;51.54542
X28;537260;184571;-0.01153;51.54257
U29;537488;184078;-0.02208;51.54198
O30;536004;185141;-0.03052;51.53441
U31;536469;184699;-0.02797;51.54086
I32;536245;185463;-0.01876;51.53323
H33;536161;184284;-0.02303;51.54411
M34;537884;183626;-0.03375;51.53621
V35;538045;183303;-0.03429;51.54809
Y36;537792;183962;-0.02039;51.53436
R37;537154;184472;-0.01609;51.54511
F38;538054;184164;-0.02434;51.54089
U39;537885;184522;-0.02115;51.53661
C40;536523;183496;-0.01301;51.54606
P41;537920;183674;-0.0322;51.5426
I42;536606;184225;-0.01334;51.54816
M43;538114;184330;-0.01489;51.53781
G44;537745;185393;-0.02923;51.54376
U45;537806;183608;-0.0277;51.53599
W46;538481;185294;-0.01272;51.53527
Q47;536584;184964;-0.02354;51.53661
W48;537773;184078;-0.02962;51.53981
H49;537732;184256;-0.02932;51.54964
R50;536982;183118;-0.01608;51.5356
X51;537448;184784;-0.0103;51.54314
N52;536066;184701;-0.02705;51.53636
X53;536721;183110;-0.01612;51.53154
U54;536617;183576;-0.03373;51.54335
Y55;536296;183487;-0.03181;51.53745
R56;537981;183676;-0.02609;51.53764
P57;537675;185220;-0.01177;51.53132
A58;538230;185056;-0.017;51.54452
R59;536566;183553;-0.01908;51.5449
L60;538499;183329;-0.01384;51.5406
H61;538249;183321;-0.01645;51.53169
P62;537039;185106;-0.0188;51.5342
S63;537104;183516;-0.03292;51.53313
X64;538174;184163;-0.02038;51.54867
W65;537323;183144;-0.03382;51.54874
C66;536348;184078;-0.03102;51.53621
A67;536660;183518;-0.01032;51.53053
R68;538280;184454;-0.02446;51.54978
A69;538153;183080;-0.03393;51.54116
